id,sr,cobo,fecha,mes,anio,ing_telmex,ing_cisco,problema,diagnostico,responsable,codigo_cierre,subtipo,detalle_subtipo,tecnologia,observacion,clli
21,616620383,"",Jan 22 2011 00:21:47,Jan,2011,Adrian Hernandez,"",El cliente no podía aprovisionar nuevos servicios a través de ANA porque el gestor no registra la tarjeta correctamente apareciendo como unknown. Misma falla que SR 616434891,"La tarjeta se reseteó vía CLI para forzar el poleo de ANA hacia la LC,  después de esta acción,  la tarjeta es reportada correctamente en ANA.",Cisco,Software,"","",CE,Despues de la revision del caso se determino que el tiempo de diagnostico fue menor a 24 hrs.,GUADJACHO08-AGR2-06
14,616422549,"",Dec 30 2010 20:41:58,Dec,2010,Susana Muratalla Salazar,"","Se reporta afectación de un equipo DSLAM, se realizaron diversas pruebas para revisar el estado de los equipos, incluso el equipo DSLAM se cambio a otro puerto físico en el equipo 7606, confirmando que el poco trafico registrado en los performance de los puertos pasa a través de la red CE sin problemas.","Después del diagnostico emitido por CISCO, se involucro al proveedor ADVA, finalmente el equipo de acceso ADVA fue reseteado y eso restauró los servicios.",Telmex,Terceros,"","",CE,"",AGSCXAGEO00-AGR4-06
17,616501925,"",Jan 11 2011 01:38:16,Jan,2011,Ma. de la Luz Hernandez Arreguin,"","Se reporto un puerto en condición de error disable, se solicita el diagnostico correspondiente.","Se diagnostica que la condición de err-disable es debido a continuos flaps a nivel físico, si hay más de 5 flaps en 10 segundos, el puerto se irá a un estado err-disable como un síntoma esperado debido a la actual configuración.
El problema se resolvió apagando y encendiendo el puerto.",Telmex,Terceros,"","",CE,No Aplica,ZPPNJALAO0E-DIST2-09
18,616539159,"",Jan 13 2011 22:29:07,Jan,2011,Ma. de la Luz Hernandez Arreguin,"","Se reporta que la tarjeta 76-ES+XC-20G3C  del slot 3, presenta status de power deny, se diagnostica que esta condición es debido a la falla en uno de los bancos de batería de la central de Telmex, ya que debido a esta condición, las fuentes de alimentación entregan solamente 1319.22 W en lugar de entregar los 2700W correspondientes.",El problema se resolvió después de que Telmex corrigió el problema de fuerza en su central.,Telmex,Terceros,"","",CE,No Aplica,AGSCXATJO00-AGR6-06
3402,635796273,4684334,Jul 26 2015 17:33:00,Jul,2015,Oscar Soriano,Marvic González,Servicio FB4-1501-0043 afectado.,Conmutación de Matriz en nodo ALU 1660 CTP Puebla.,Telmex,Terceros,Alcatel,"",Optica,"",MNTRXLMAO0I
24,616639687,"",Jan 25 2011 04:06:10,Jan,2011,Ma. de la Luz Hernandez Arreguin,"","Se reporto afectación de servicios configurados en la LC del Slot 1 76-ES+XC-20G3C , con el comando show module se registro un status de other/unknown, además de acuerdo al análisis de logs, se determino falla de hardware, con el fin de restaurar los servicios, se migraron hacia la LC del slot 3.","Se solicito RMA  para la tarjeta 76-ES+XC-20G3C, se programa intervención para realizar el reemplazo y se migran los servicios a su configuración original en el slot 1.",Cisco,Hardware,"","",CE,"",TRENXDLFO01-AGR4-06
25,616662587,"",Jan 26 2011 20:19:48,Jan,2011,Ma. de la Luz Hernandez Arreguin,"","Se verificaron los módulos en el equipo y la tarjeta RSP720-3C-GE= del slot 5 presenta status de unknown. Se analizan los logs correspondientes y se detecta que la memoria en la tarjeta Activa (Slot 6) cuenta con 2G en el SP mientras que la tarjeta en Standby (Slot 5) solo hay 1G de memoria en SP, lo que provoca la condición de COLD STANDBY.","Se solicito RMA de la tarjeta RSP720-3C-GE=con la cantidad de memoria correcta (2G para SP) y después del reemplazo la condición de la tarjeta de respaldo aparece como HOT STANDBY, se valido que el SSO de la tarjeta supervisora se realiza de forma correcta.",Cisco,Hardware,"","",CE,"",ZPPNJAESO06-AGR2-06
26,616674479,"",Jan 27 2011 18:25:14,Jan,2011,Adrian Hernandez,"","Se reporta afectación de servicios HSI configurados en la tarjeta 76-ES+XC-20G3C Slot 1, se verifico el status de la LC y se muestra por CLI como power deny, los servicios se migraron al slot 3 para restablecer el trafico. Se continuo con el diagnostico cambiando la tarjeta al slot 2 y la condición permaneció igual, finalmente se cambio la tarjeta al slot 4 en el que la LC fue reconocida correctamente. Se diagnostico falla en el chasis CISCO 7606-S.","Se solicita un RMA para el chasis CISCO7606-S=, se programa intervencion para el reemplazo del mismo, después de cambio se valida que la LC es reconocida correctamente y los servicios son migrados a sus configuraciones originales.",Cisco,Hardware,"","",CE,"",TRENXDANO00-AGR2-06
27,616784599,"",Feb 08 2011 19:25:33,Feb,2011,Ma. de la Luz Hernandez Arreguin,"","Después de una migración de servicios hacia la plataforma CE CISCO que no fue exitosa,  se escalo a soporte Cisco para determinar causa raíz. Fue necesario involucrar a la BU para el diagnostico de la falla, finalmente se determinó que la causa raíz especifica es debido al bug CSCtf95444    es+ efp programming failed if configured after SSO","La programación EVC (Ethernet Virtual Circuit) en las tarjetas ES+ falla si un Nuevo EVC es configurado después de un SSO switchover (conmutación de tarjetas supervisoras), el workaround sugerido es el reload de la LC afectada. Después de aplicar el reload sugerido, la condición del EVC se normalizo.",Cisco,Software,"","",CE,Despues de la revision del caso se determino que el tiempo de diagnostico fue menor a 24 hrs.,CDMXDFAGO02-AGR2-06
28,616784641,"",Feb 08 2011 19:27:40,Feb,2011,Ma. de la Luz Hernandez Arreguin,"","Al ingresar a nivel de subslot a través de ANA a las LC, se registra que en el subslot-3 reporta en color naranja dicho modulo; sin embargo, no tiene ninguna afectación en el servicio y la condición no es anunciada como un ticket en ANA.. El diagnostico de la BU es que en release 3.7.0, la informacion de los sub-slots es obtenida de la MIBs asociada con la daughter board en la que el sub-slot reside. El sub-slot es una interfaz lógica en la tarjeta y la información requerida para las interfaces del sub-slot no esta presente en la MIB de la daughter board por lo que ANA 3.7.0 no reconocerá este sub-slot reflejándolo como un x-status. Al no tener ninguna afectación al servicio y solamente ser un detalle de no reconocimiento del sub-slot, ANA no lo refleja como un ticket, solo como un status.","En release 3.7.1,  la información requerida para el status del sub-slot,  es tomada de la MIBs asociada con la tarjeta LC, la cual contiene la información que ANA utiliza para procesar el status correcto del sub-slot. La sugerencia para solucionar dicha condición es migrar a ANA 3.7.1.1.2",Cisco,Software,"","",CE,"Por su complejidad, este caso fue escalado con la BU. ",NZYLXMTOO01-AGR3-06
29,616799705,"",Feb 09 2011 20:59:58,Feb,2011,Adrian Hernandez,"","Después de una migración de servicios hacia la plataforma CE CISCO que no fue exitosa,  se escalo a soporte Cisco para determinar causa raíz. Se valida que nuevamente la causa raíz especifica es debido al bug CSCtf95444    es+ efp programming failed if configured after SSO, misma causa que para el SR 616784599","La programación EVC (Ethernet Virtual Circuit) en las tarjetas ES+ falla si un Nuevo EVC es configurado después de un SSO switchover (conmutación de tarjetas supervisoras), el workaround sugerido es el reload de la LC afectada. Después de aplicar el reload sugerido, la condición del EVC se normalizo.",Cisco,Software,"","",CE,"",CDMXDFAGO02-AGR2-06
30,616823663,"",Feb 11 2011 19:36:26,Feb,2011,Adrian Hernandez,"","Se reportaron todos los servicios afectados en el nodo ZPPNJAAZO00-AGR1-06, también se perdió la gestión del equipo, se pidió apoyo en sitio para realizar el SSO (swithover) de las tarjetas Supervisoras, la tarjeta que presento la falla es la del slot 5, después de esta acción la gestión y los servicios se recuperan. Se analizaron los logs y se determino que la afectación fue debido a falla de hardware de la tarjeta RSP720-3C-GE Slot 5","Se programa intervención para realizar el reemplazo de la tarjeta RSP720-3C-GE, durante la intervención también se valido que el SSO se realizara correctamente. ",Cisco,Hardware,"","",CE,"",CDMXDFAGO02-AGR2-06
31,616845119,"",Feb 15 2011 00:31:41,Feb,2011,Adrian Hernandez,"","Después de una migracion de servicios hacia la plataforma CE CISCO que no fue exitosa,  se escalo a soporte Cisco para determinar causa raíz. Se valida que nuevamente la causa raíz especifica es debido al bug CSCtf95444    es+ efp programming failed if configured after SSO, misma causa que para el SR 616784599 + SR 616799705","La programación EVC (Ethernet Virtual Circuit) en las tarjetas ES+ falla si un Nuevo EVC es configurado después de un SSO switchover (conmutación de tarjetas supervisoras), el workaround sugerido es el reload de la LC afectada. Después de aplicar el reload sugerido, la condición del EVC se normalizo.",Cisco,Software,"","",CE,"",CDMXDFAGO02-AGR2-06
4656,685419047,N/A,Oct 11 2018 08:00:00,Oct,2018,Sergio Navarrete,Carlos Amador,Proyecto de Mejora Continua,0,Telmex,Mejora Continua,"","",Optica,"",GUADJAFRO08
33,616923219,"",Feb 22 2011 17:47:13,Feb,2011,Ma. de la Luz Hernandez Arreguin,"","Se reportó un nuevo problema mientras ponía en marcha nuevos VNEs en la plataforma de ANA 3.7.0. Se detectó que entre dos VNE,s los enlaces 10G no son visibles cuando estos VNEs residen en diferentes Units. La falla fue detectada en el cluster CE_NX_VL_003CMET y el nuevo VNE que se implemento fue el nodo NCPNXMMTO02-AGR5-06.","La causa raíz de que los enlaces 10G no sean visibles cuando estos VNEs se encuentran en diferentes Units
se debe a que los datos del protocolo CDP (Cisco Discovery Protocol) y ciertos datos del inventario físico son recopilados por el gestor ANA. Este problema fue causado por un problema en el uso de comandos getBulk de SNMP (Simple Network Management Protocol) en ANA. Para solucionar el problema la BU genero un parche que se instalo en el servidor ANA y utiliza el comando Get de SNMP en vez del comando getBulk de SNMP para el subconjunto de datos recuperados del equipo. Bug CSCtn62928 ",Cisco,Software,"","",CE,"Por su complejidad, este caso fue escalado con la BU. ",NCPNXMMTO02-AGR5-06
36,616986869,"",Mar 01 2011 06:37:54,Mar,2011,Ma. de la Luz Hernandez Arreguin,"",Se reportaron todos los servicio conectado en e nodo GUADJACHO08-AG2-06 Slot 1 (76-ES+XC-40G3C=) con afectacion; para recuperar los servicios fue necesario la migracion de los mismo hacia puertos disponibles; posteriormente se realizo el diagnostico y analisis de crash files determinando falla de hardware. Se genero RMA correspondiente. ,"Se realizo el reemplazo de la LC (76-ES+XC-40G3C=) , se regresaron los servicios a su configuracion original validando el correcto funcionamiento de los mismos.",Cisco,Hardware,"","",CE,"",GUADJACHO08-AGR2-06
40,617008909,"",Mar 02 2011 19:13:03,Mar,2011,Ma. de la Luz Hernandez Arreguin,"",Se detecta que el status de la tarjeta PWR-2700-DC (power-supply 2 power-output-fail: failed) con lo cual se diagnostica falla de hardware.,"Se programa intervencion para realizar el reemplazo de la tarjeta  PWR-2700-DC, se valido que el status de la tarjeta es correcto a traves de CLI. ",Cisco,Hardware,"","",CE,"",CDMXDFTLO03-AGR4-06
83,617854931,"MA110503944

",May 24 2011 04:54:14,May,2011,Adrian Hernandez,"",Slot 1 presenta alarma de temperatura en el sensor BB Outlet 0,Threshold aparece corregido en el release 12.2(33) SRE4,Cisco,Software,"","",CE,No Aplica,CDMXDFEOO03-AGR1-06
34,616954055,"",Feb 24 2011 22:26:41,Feb,2011,Adrian Hernandez,"","Los servicios HSI experimentan lentitud cuando
el cliente trata de navegar en Internet,  el problema se presenta en el
agregador 2 del cluster CE_PLTZAC_001CNTE de Zacatecas. El equipo de acceso muestra errores de CRC a la recepcion de esta interfaz. Se realizaron diversas pruebas con lo que se deslindo un problema en la red CISCO CE.","La causa raíz reside en que la distancia que existe entre el nodo Zacatecas Plata (CE CISCO) y el nodo Periodistas (DSLMAM Huawei) es de 15 km, el transceiver instalado actualmente en el equipo CISCO (SFP LX)  cumple con la especificación de hasta 10 km de distancia, por lo cual es necesario el reemplazo del mismo por un SFP ZX (80 km) para solucionar la problemática.",Telmex,Terceros,"","",CE,No Aplica,GDLPZCPLO0J-AGR2-06
35,616969403,"",Feb 26 2011 21:15:56,Feb,2011,Ma. de la Luz Hernandez Arreguin,"","Los servicios HSI experimentan lentitud en el ISAM conectado al equipo GDLPZCPLO0J-AGR2-06 Ge3/1.Se realizaron diversas verificaciones en la red CE, se cambio de puerto en la tarjeta validando que la causa raiz no es el equipo CISCO. Se detecta que el ISAM no es alcanzable via ping y se incolucra al proveedor Alcatel para revision, finalmente se valido que existe un error en la configuracion del equipo ISAM.",Fue necesaria la reconfiguracion del equipo ISAM para recuperar el servicio.,Telmex,Terceros,"","",CE,"",GDLPZCPLO0J-AGR2-06
38,617008821,"",Mar 02 2011 19:06:16,Mar,2011,Ma. de la Luz Hernandez Arreguin,"","Se reporta Minor Alarm en la LC Slot1, despues del analisis de logs, se determina que la alarma en los puertos G1/6, G1/7 y G1/8 es debido a que los SFP insertados en la tarjeta no son compatibles.","Fue necesario el cambio de los SFP de los puertos G1/6, G1/7 y G1/8.",Telmex,Terceros,"","",CE,No Aplica,MCLVXDMCO09-DIST1-09
42,617022145,"",Mar 03 2011 18:55:31,Mar,2011,Ma. de la Luz Hernandez Arreguin,"","Se reporta lentitud en la navegacion de los servicios de HSI del ISAM conectado en el equipo NVLRXTCOO06-AGR2 Gi1/3. Se detectan errores de CRC en la intrfaz Gi1/3, los niveles de potencia detectados son : Rx=-19 dB mientras que el min threshold es de -17 dB. Se diagnostica problema de atenuacion como la causa raiz.","Se solicita al personal en sitio que se realice limpieza de las F.O. y verifiquen la potencia correspondiente, se encuentra un problema con la fibra y se cambian 2 jumpers.",Telmex,Terceros,"","",CE,No Aplica,NVLRXTCOO06-AGR2-06
46,617121891,"",Mar 12 2011 01:15:11,Mar,2011,Susana Muratalla Salazar,"","Se reporta falla de tarjeta supervisora en el nodo DURNDUZAO09-AGR4-06,  se verifico el estado de los modulos y se detecta que la tarjeta RSP720-3C-GE Slot 6 aparece en status de unknown lo que indica un posible danho de hardware, se realiza un soft reset de la tarjeta supervisora, se obtienen logs y se determina falla de hardware por lo que se solicita el RMA correspondiente.","Se programa intervencion para reemplazo de tarjeta RSP720-3C-GE, despues de realizado el cambio se valida que la tarjeta es reconocida correctamente.",Cisco,Hardware,"","",CE,"",DURNDUZAO09-AGR4-06
48,617127561,"",Mar 14 2011 03:58:48,Mar,2011,Susana Muratalla Salazar,"","El cliente reporta problemas en el nodo GUADJACHO08-AGR2-06
perteneciente al cluster CE_CTGLAF_001CCEN, 1667 usuarios son afectados. Se realiza un diagnostico de la tarjeta 76-ES+XC-40G3C Slot 1, la tarjeta muestra un minor error, el diagnostico para TestFabricCh1Health falla.
."," Se realiza un sw-reset y los servicios son restaurados, la tarjeta no muestra ningun crash file. Al restaurarse el servicio, y el diagnostico de la tarjeta haber resultado exitoso después de este reset, se determina que la tarjeta estaba mal asentada, pero se deja en monitoreo por si ocurrealgún incidente. El cliente pide que se mande un RMA en caso de que ocurra algún problemacon la tarjeta, finalmente no fue necesario el reemplazo de la LC.
",Cisco,Hardware,"","",CE,"",GUADJACHO08-AGR2-06
52,617223715,"",Mar 23 2011 02:36:41,Mar,2011,Adrian Hernandez,"","Se detecto que la tarjeta de la del S1 estaba dañada por lo que se tomo la tarjeta del S3 que no tenia ninguna configuracion, con esta accion se restauro el servicio, en este punto el cliente realizo el reemplazo. Se solicito el RMA de la tarjeta dañada a petición del cliente para que se entregara el 23 a las 10.00 am ya que ya no había afectación, y esta se inserto en el S3 como reemplazo de la tarjeta utilizada en este slot 3.  ",Se reemplazo la tarjeta del Slot 1 con la del cliente en el Slot 3. Se genero el RMA para cubrir el repuesto que proporciono el cliente.,Cisco,Hardware,"","",CE,"",TNLAJALDO01-AGR2-06
53,617231683,"",Mar 23 2011 17:20:49,Mar,2011,Adrian Hernandez,"","Se reviso la tarjeta del S5 RSP720-3C-GE en conjunto con el personal de CNS, se determino que estaba en estado desconocido,  el personal de CNS previamente realizo un reset lógico de la tarjeta, y esta siguió sin ser reconocida por el equipo. Se programo una ventana de mantenimiento para cambiar la tarjeta el 24 de Marzo a las 00:00 Hrs.
","Se reemplazo la tarjeta supervisora RSP720-3C-GE dañada del Slot 5 y se valido que fuera reconocida correctamente.
",Cisco,Hardware,"","",CE,"",ZPPNJAZAO07-AGR7-06
47,617127345,"",Mar 14 2011 02:59:41,Mar,2011,Susana Muratalla Salazar,"","El cliente reporta la tarjeta del slot 3 (76-ES+XC-20G3C) con alarma MinorFail, se verifica la configuración y se encuentra que el threshold de temperatura del BB Outlet 1 no se han modificado, dicha modificacion se debe realizar desde la etapa de implementacion.","Se modifica el threshold de temperatura del BB Outlet 1 de la tarjeta 3 (76-ES+XC-20G3C) y se resuelve el problema.
BB Outlet 1        Min 75      Max  85     Actual    58
",Cisco,Instalacion,"","",CE,"",CSCTXLLFO02-AGR2-06
45,617091295,MA110301243,Mar 09 2011 16:47:51,Mar,2011,Susana Muratalla Salazar,"","Se reporta la interrupción del servicio dentro de la vlan 1616 con conexión hacia el DSLAM Huawei. Se verifica la configuración del puerto, service instance y del pseudowire, encontrando todo correctamente configurado, ademas se validan las estadisticas de los puertos sin detectar ningun error, validando que la causa raiz no es el equipo CISCO.","Se encuentra un problema con la configuración del DSLAM de Huawei, al realizar el cambio de configuracion el servcios se restablece.",Telmex,Terceros,"","",CE,"",CDMXDFXAO01-AGR4-06
49,617150655,"",Mar 15 2011 19:47:43,Mar,2011,Susana Muratalla Salazar,"","El cliente reporta problemas con el servicio HSI en la vlan
1672, pero cuando se genera el SR correspondiente y se involucra a CISCO, el servicio se ha restablecido. Se reviso el estado de los modulos, el flujo de paquetes y el estado de las interfaces, se verificaron los logs y no ocurrio ningun evento que haya afectado el servicio.","Los paquetes de entrada y salida de los puertos así como el status de las interfaces se encuentran bien, se determina que no es un problema en la red CE CISCO.",Telmex,Terceros,"","",CE,No Aplica,ZPPNJAANO01-AGR1-06
54,617246343,"",Mar 24 2011 18:45:27,Mar,2011,Adrian Hernandez,"","Se verifico el estado de los módulos y aparece como “ok”. Se verifico los paquetes de entrada y salida de las interfaces que conectan a las vlans
afectadas. Se verifica el tipo de SPF utilizado y es el correcto. Se verifica la potencia óptica de transmisión y recepción de los puertos que conectan a las vlans, entre el Distribuidor y Agregador y las interfaces del Distribuidor que conectan al BRAS.  Se encuentra bajo nivel de potencia en la interface giga1/2 del Distribuidor que conecta al BRAS ayuntamiento 15. ","Se hizo un cambio de jumpers de fibra óptica para mejorar el nivel de potencia óptica entre la interfaz giga1/2 del Distribuidor y la interfaz 7/1/0 del BRAS y esto soluciono la condicion de falla.

",Telmex,Terceros,"","",CE,"",SLTLXDATO06-DIST2-09
58,617316679,"",Mar 31 2011 16:33:30,Mar,2011,Ma. de la Luz Hernandez Arreguin,"","Se verifico el estado de los módulos y la LC 76-ES+XC-20G3C= del Slot 1 se reporta como unknown.  Se verificaron los diagnósticos del modulo reportado contenidos en el archivo crash info y se determina un danho en la TCAM, por lo que se diagnostica falla de hardware,   se solicita el RMA correspondiente para reemplazo de la LC",Se hizo el reemplazo de tarjeta 76-ES+XC-20G3C= del Slot 1 y se valida que la falla se corrige.,Cisco,Hardware,"","",CE,"",APDCXLLFO02-AGR3-06
60,617330179,"",Apr 01 2011 17:44:25,Apr,2011,Ma. de la Luz Hernandez Arreguin,"","Se reviso el status de los módulos del equipo 7609, se detecto que la LC del Slot 8 (76-ES+XT-2TG3C) se mostraba como pwr-down, por lo que se procedió a revisar el log del equipo y se determino que la LC había sido deshabilitada debido a una falla de hardware. Se solicito el RMA correspondiente para el reemplazo de la LC",Se reemplazo la tarjeta del Slot 8 (76-ES+XT-2TG3C)  y el equipo regreso a su operacion normal.,Cisco,Hardware,"","",CE,"",ZPPNJALAO0E-DIST2-09
65,617463243,"",Apr 14 2011 22:56:08,Apr,2011,Adrian Hernandez,"","La tarjeta del slot 3 del nodo MNTRXLVVO04-AGR8-06 aparece como status unknow en ANA, se verifico via CLI que la tarjeta no tiene ningun problema de hardware, es necesario el reset de la misma para forzar el poleo de ANA y que sea reconocida correctamente. Misma falla que SR 616434891 y SR 616620383",Se recomendo dar un reset a la tarjeta para forzar a que esta sea reconocida por ANA. El cliente realizó el reset y el problema se corrigio.,Cisco,Software,"","",CE,"",MNTRXLVVO04-AGR8-06
84,617854947,"MA110503937

",May 24 2011 04:57:38,May,2011,Adrian Hernandez,"",Slot 3 presenta alarma de temperatura en el sensor BB Outlet 1,Configuración del umbral de temperatura BB outlet 1 en slot 3,Cisco,Software,"","",CE,No Aplica,TNLAJALDO01-AGR2-06
57,617304325,"",Mar 30 2011 18:05:57,Mar,2011,Ma. de la Luz Hernandez Arreguin,"","Se verifico el estado de las tarjetas supervisoras, la tarjeta en standby se encontró en estado de cold, se ordenaron las imágenes de IOS dentro de los directorios del equipo, al dar un reset a la tarjeta esta se fue a rommon, debido a que una de las imágenes estaba dañada y provoco que las tarjetas supervisoras no se sincronizaran.","Se reemplazó la imagen que se encontraba dañada copiando la imagen correcta del disk0 de la tarjeta activa, se ordenaron las imágenes de IOS dentro del directorio, se reinició la tarjeta supervisora en standby y al iniciar paso a estado de Hot.",Cisco,Instalacion,"","",CE,"",MNTRXLMAO1H-DIST1-09
59,617318821,"",Mar 31 2011 19:07:12,Mar,2011,Ma. de la Luz Hernandez Arreguin,"","Despues de la revision de la falla, se determino que en el nodo MNTRXLVVO04-AGR8 perteneciente al clúster CE_ANAMAY_001CNTE,  se encontraron dos SFP dañados en la tarjeta del slot 3, en los de los puertos 3/15 y 3/16. Se solicito en sitio extraer y reinsertar ambos modulos;  solo uno de ellos fue reconocido nuevamente pero CISCO recomienda el reemplazo de ambos.","Despues del reemplazo de los SFP, el problema queda solucionado.",Telmex,Terceros,"","",CE,"",MNTRXLVVO04-AGR8-06
61,617336457,"",Apr 03 2011 05:01:34,Apr,2011,Ma. de la Luz Hernandez Arreguin,"","Se reporta que el enlace entre el Agregador 5 y Distribuidor 1 esta en statusdown, los servicios fluyen por el enlace redundante. Se verifico el estado de los modulos apareciendo OK, se revisan los PM de la interfaz Ten Giga 2/1 y aparece como status down, la causa del problema es que se encontró nivel de potencia bajo en la interface Ten Giga 2/1 del nodo MNTRXLMAO1H-DIST1-09","Se corrigieron los niveles de potencia óptica del enlace entre el Agregador 5 y Distribuidor 1, validando que el status del enlace es correcto y que la redundancia esta disponible.",Telmex,Terceros,"","",CE,No Aplica,MNTRXLMAO1H-DIST1-09
